"Cell_subgroups","Methods-signatures"
"Endothelial_Subgroup.1.Iteration.1","Epidish_CBSX.HNSCC.scRNAseq_Endothelial
CBSX_CBSX.HNSCC.scRNAseq_Endothelial
DeconRNASeq_DWLS.Vanderbilt.scRNAseq_Endothelial
Epidish_DWLS.Vanderbilt.scRNAseq_Endothelial"
"Endothelial_Subgroup.2.Iteration.1","DeconRNASeq_MOMF.Vanderbilt.scRNAseq_Endothelial
CBSX_MOMF.Vanderbilt.scRNAseq_Endothelial
CBSX_CBSX.Vanderbilt.scRNAseq_Endothelial"
"Endothelial_Subgroup.1.Iteration.2","CBSX_CBSX.Melanoma.scRNAseq_Endothelial
Endothelial_Subgroup.2.Iteration.1"
"Myocytes_Subgroup.1.Iteration.1","DeconRNASeq_CBSX.HNSCC.scRNAseq_Myocytes
Epidish_CBSX.HNSCC.scRNAseq_Myocytes"
"Fibroblasts_Subgroup.1.Iteration.1","DeconRNASeq_BSeqSC.Vanderbilt.scRNAseq_Fibroblasts
Epidish_BSeqSC.Vanderbilt.scRNAseq_Fibroblasts
DeconRNASeq_MOMF.Vanderbilt.scRNAseq_Fibroblasts
DWLS_BSeqSC.Vanderbilt.scRNAseq_Fibroblasts
DWLS_DWLS.Vanderbilt.scRNAseq_Fibroblasts
CBSX_CBSX.Vanderbilt.scRNAseq_Fibroblasts
DWLS_CBSX.Vanderbilt.scRNAseq_Fibroblasts
CBSX_DWLS.Vanderbilt.scRNAseq_Fibroblasts
CBSX_BSeqSC.Vanderbilt.scRNAseq_Fibroblasts"
"Fibroblasts_Subgroup.1.Iteration.2","CBSX_MOMF.Vanderbilt.scRNAseq_Fibroblasts
Fibroblasts_Subgroup.1.Iteration.1"
"Mast.cells_Subgroup.1.Iteration.1","DeconRNASeq_BSeqSC.Vanderbilt.scRNAseq_Mast.cells
DWLS_BSeqSC.Vanderbilt.scRNAseq_Mast.cells
DeconRNASeq_MOMF.Vanderbilt.scRNAseq_Mast.cells
DeconRNASeq_DWLS.Vanderbilt.scRNAseq_Mast.cells
DeconRNASeq_CBSX.Vanderbilt.scRNAseq_Mast.cells"
"Mast.activated_Subgroup.1.Iteration.1","Epidish_LM22_Mast.activated.cells
CBSX_LM22_Mast.activated.cells"
"Mast.resting_Subgroup.1.Iteration.1","DeconRNASeq_LM22_Mast.resting.cells
Epidish_LM22_Mast.resting.cells"
"Mast.resting_Subgroup.1.Iteration.2","CBSX_LM22_Mast.resting.cells
Mast.resting_Subgroup.1.Iteration.1"
"CAF_Subgroup.1.Iteration.1","DeconRNASeq_CBSX.HNSCC.scRNAseq_CAF
CBSX_CBSX.HNSCC.scRNAseq_CAF
DeconRNASeq_CBSX.Melanoma.scRNAseq_CAF"
"CAF_Subgroup.2.Iteration.1","Epidish_CBSX.Melanoma.scRNAseq_CAF
CBSX_CBSX.Melanoma.scRNAseq_CAF"
"CAF_Subgroup.1.Iteration.2","CAF_Subgroup.1.Iteration.1
CAF_Subgroup.2.Iteration.1"
