NAME	CD8.cells	T.cells.regulatory	Myeloid.cells	CD4.cells	NK.cells	B.cells	Mural.cells	Endothelial	Fibroblasts	Plasma	T.cells.helper	T.cells.proliferative	Mast.cells
AC073896.2	10.8049720814561	1	1	1	12.8016559220685	1	1	1	1	1	1	18.2278299263153	13.3574488856663
AC078883.1	1	13.8197026543834	1	1	1	1	1	1	1	121.792909449381	1	1	1
AC079922.2	1	1	1	1	16.2223189443388	1	1	1	1	1	10.8239083469716	1	1
AC083880.1	1	1	1	1	24.2226855593644	1	13.9791375118533	1	1	1	1	14.0494523800369	1
AC084018.2	1	1	1	1	11.4311632816593	1	1	1	1	1	1	1	1
AC087500.1	1	1	1	1	1	20.2945130574871	1	1	1	1	1	1	1
AC087623.2	16.8820023406622	13.6899143291956	12.6405127888191	1	1	1	1	1	1	50.1403645855335	17.8799659345379	10.3887783815423	1
AC087623.3	1	1	1	1	34.0085875230016	1	1	1	1	1	1	1	1
AC090152.1	20.6623314307311	28.2711596414731	1	1	40.4848847549407	13.095423449252	1	1	1	13.0060020900446	34.6654373180702	37.7661803380398	11.5041853592226
AC090204.1	1	1	13.4615601205652	1	1	1	1	1	11.1071012295767	1	1	1	1
AC090559.1	1	1	23.0481790497818	1	1	1	1	1	1	1	1	1	1
AC091057.6	1	1	1	1	1	1	1	1	1	1	1	41.7321002041988	1
AC091729.3	1	1	1	1	14.3050723280745	1	1	12.5718984510125	1	25.6214160575787	1	1	1
AC092755.2	1	1	1	1	15.3534262346688	1	1	1	1	1	1	1	1
AC092803.1	1	1	43.4377552929169	1	1	1	23.8105884886405	16.8821021458284	17.8552531540358	1	1	1	1
AC093010.2	29.4338155311899	37.4026055115588	1	22.0541366965268	56.5004587924195	19.8648925163461	1	1	1	1	34.594396593235	21.2018624029661	1
AC093323.1	1	14.56669019918	1	1	24.8875101633758	1	1	1	15.0864984794999	1	11.6227889985874	17.8307290258114	1
AC093523.1	1	1	1	1	1	1	1	1	1	1	1	1	58.5386428794406
AC097534.2	1	1	1	1	1	1	22.9603081168745	1	10.4593452539064	1	13.7328611668357	13.0398970660824	1
AC098617.1	1	1	1	1	1	1	1	1	1	1	1	1	11.4308655081978
AC099063.4	1	1	1	1	14.0510036488575	1	1	1	1	1	1	1	1
AC103702.2	1	1	1	1	11.2872043952831	1	1	1	1	1	1	18.1661078719927	1
AC103724.3	1	1	1	1	23.6375363683467	1	1	1	1	1	1	1	1
AC104024.1	1	1	1	1	1	12.7019604966929	1	1	1	1	1	1	1
AC104699.1	1	1	1	1	1	31.6229914125101	1	1	1	105.269420743328	1	1	1
AC105020.6	1	1	1	1	16.6464363821048	1	1	1	1	1	1	1	1
AC105446.1	1	1	1	1	15.2494642963272	1	1	1	1	1	1	1	1
AC106739.1	1	1	1	1	1	1	1	1	1	1	1	1	13.0342499279305
AC108134.3	1	1	18.8628459647384	1	22.2208413337564	1	1	29.4328979638072	1	1	1	1	9.9471806236336
AC112721.2	1	1	1	1	1	1	1	1	1	1	15.8696764931472	1	1
AC119396.1	1	1	1	17.8311184602013	22.3927417010588	63.9536735626392	1	1	1	1	1	1	1
AC120193.1	1	1	1	1	1	37.3377122134075	1	1	1	1	1	1	1
AC124016.1	1	11.9251684106386	1	11.6457030858778	35.4008065614185	1	1	1	10.2872185051937	12.5086903997407	1	1	1
AC129507.4	1	1	1	1	1	1	1	1	1	1	1	1	1
AC133644.2	1	30.4431268696308	1	1	1	1	1	1	1	1	15.0579561152415	1	1
AC136475.1	1	1	1	1	24.73808992861	1	1	1	1	1	1	1	1
AC136475.3	1	1	1	1	1	1	1	1	1	1	13.5041372537143	1	1
AC139530.1	1	1	1	1	16.7373338829601	1	12.0002008592435	1	1	1	1	13.8211780959194	1
AC139720.1	1	1	1	1	1	1	1	1	1	1	15.7085605185367	1	1
AC139887.2	1	1	1	1	1	1	1	1	1	13.6568152817544	1	1	1
AC233755.1	1	1	1	1	1	1	1	1	1	48.8583441442203	1	1	1
AC239799.2	1	1	32.9531127762299	1	1	1	1	1	1	49.1330791891746	1	21.616330761661	1
AC243829.1	16.5384455229741	1	1	1	18.9042529846619	1	1	1	1	1	1	1	1
AC243829.4	38.9033073050878	1	1	1	1	1	1	1	1	1	41.7657237019328	39.7433339244259	1
AC243960.1	42.6668063327313	92.8230528549111	13.4203796061291	59.8697470785438	141.985442615972	33.3382145957402	1	1	1	77.7952875111927	73.932751434498	74.3118496824441	1
AC243965.1	1	1	1	1	13.3466203854773	1	1	1	1	1	1	1	1
AC244090.1	1	1	43.6807310395555	1	1	1	1	18.8865230351584	14.5558791790668	12.8292919893441	1	1	1
ACAN	1	1	1	1	1	1	50.4388125967116	1	1	1	1	1	1
ACAP1	230.760407176877	213.786468196482	47.2711315661538	243.488993458205	198.961559541781	152.598520394882	1	1	10.6137427788176	84.9842384105172	183.031235621769	151.249579438039	36.772609684984
ACE	1	1	27.7689128738201	1	1	1	1	468.70964111707	1	1	1	1	1
ACKR1	1	1	1	1	1	1	1	172.625559026944	1	1	1	1	1
ACOT4	1	1	1	1	12.3608177970097	1	1	1	1	1	1	11.1813773222029	1
ACOT7	13.2591923517585	1	53.3183526704034	1	1	1	1	1	17.3959817523184	1	22.3892402044913	100.813289965731	81.6109824403028
ACOX3	10.939631987319	23.8225802850837	1	1	1	1	1	1	1	15.1090509057152	25.3782685457492	22.2249513046084	1
ACP6	1	18.3764390449435	1	11.693020394059	1	1	1	1	1	1	1	1	1
ACSF2	1	1	13.0303953812325	1	1	1	1	1	1	1	1	9.91765307879429	1
ACSL1	11.4567277443168	15.0159297352717	109.114266660125	1	1	38.5017678280997	9.82361568487052	1	1	1	11.4367264898884	27.6244867891262	13.1581172886687
ACSL4	19.1135871263492	32.7732102159516	50.1060942101646	12.3868264153077	12.473215818728	18.9577242373936	20.6411913555702	18.848535804693	25.347404240349	23.0235956315615	23.4049752714742	46.9774117885477	433.499182071716
ACSL6	1	1	1	13.8197344029295	1	1	1	1	1	1	1	1	1
ACTA2	1	20.2882423109824	1	1	23.0478710121422	1	1987.89752036944	1	584.517097515483	1	16.5796753766807	14.5010160322092	1
ACTG2	1	1	1	1	1	1	160.743970800007	1	24.3162794364805	1	1	1	1
ACTN1	1	10.5979363681687	100.138555134003	1	1	1	287.206538407008	48.7604261277259	210.805410400775	1	1	1	1
ACTR3C	1	13.6107885934949	1	1	1	1	1	1	1	14.9056104729147	1	14.9855602474892	1
ACTR5	11.8710267554546	1	1	1	12.7995043812037	1	1	1	1	1	1	15.3667616114485	16.0196872146367
ACVR1B	1	1	1	1	1	1	15.1928539788107	14.1081813474389	12.3964511562085	1	1	1	31.0774124265727
ACVRL1	1	1	1	1	1	1	29.9264863286789	421.942547878724	17.9054121753266	1	1	1	1
ACY3	1	1	1	1	1	1	1	1	1	15.5635683195898	1	1	1
ADA2	28.3719836238537	1	115.951977737814	31.1066081079148	25.8650013507707	18.4962506955326	1	13.0235195254963	1	160.464059907366	19.6809697900442	26.0461531673241	1
ADAM12	1	1	1	1	1	1	1	1	12.5788413509607	1	1	1	106.71204107856
ADAM19	17.2086827086063	17.6490416231952	32.6113607169625	37.5010536750451	1	29.0337437812606	11.3447199040764	1	1	37.3162028041974	60.2155673308083	31.7630618573845	1
ADAM28	1	1	58.6497155053006	1	1	454.441935540468	1	1	1	107.011485314977	1	27.4131094077364	1
ADAM8	58.5961031396644	33.995996061067	104.962168952338	71.1916242727985	143.097970051918	32.2221730926335	1	1	1	1	33.3686553599217	20.3883385739651	79.7020641540145
ADAMDEC1	1	1	21.1039036432762	1	1	1	1	1	1	1	1	1	1
ADAMTS1	1	1	1	1	16.3610172530809	1	321.522695143826	72.2691191874416	106.615010323578	1	1	1	1
ADAMTS10	1	1	1	1	21.8809079824809	1	27.3522538479034	22.9008879726057	21.0994292783744	1	1	1	1
ADAMTS12	1	1	1	1	1	1	35.4578996860013	1	54.1877427839967	1	1	1	1
ADAMTS2	1	1	1	1	1	1	26.9397111759208	1	57.463345161571	1	1	1	1
ADAMTS4	1	1	1	1	1	1	113.672944267466	33.6332634658057	21.228985942233	1	1	1	1
ADAMTS7	1	1	1	1	1	1	1	25.0442468875533	1	1	1	1	32.276201832343
ADAMTS8	1	1	1	1	1	1	1	1	51.6381612924872	1	1	1	1
ADAMTS9	1	1	1	1	1	1	42.4465750176247	69.6812099635463	1	1	1	1	1
ADAMTS9-AS2	1	1	1	1	1	1	68.3358837904134	12.9551135323522	23.3392948592576	1	1	1	1
ADAMTSL2	1	1	1	1	1	1	50.6191595620516	56.4532643605707	62.6415922185363	1	1	1	1
ADAMTSL3	1	1	1	1	1	1	49.7761296796715	1	1	1	1	1	1
ADAMTSL4	1	1	44.7494015637007	1	1	1	1	1	12.4724027018668	1	1	1	1
ADAP1	1	1	16.3010072414538	1	25.4921561113879	1	1	1	1	1	1	1	21.9729915141484
ADAP2	1	1	70.9032220717975	1	1	1	75.7372221525615	1	1	1	1	1	1
ADARB1	12.1919154053281	1	1	17.6252104388593	1	1	14.2738370627566	32.7324997728365	65.4851880406504	1	1	1	15.9522629583315
ADAT1	15.6747461052643	1	1	11.4599313686373	18.6286074104159	1	1	1	1	1	1	1	1
ADAT2	1	45.6094261062649	11.852950023285	1	1	1	1	1	10.2088257469593	1	16.6411169839362	15.0335632329889	1
ADCY4	1	1	1	1	1	1	1	149.457986790823	1	1	1	1	1
ADGRA2	1	1	1	1	1	1	70.0950021227696	18.5401176308318	50.7439673374895	1	1	1	1
ADGRE2	1	1	46.6278934842233	1	1	1	1	1	1	1	1	1	119.038882103471
ADGRF5	1	1	1	1	1	1	180.669203348807	397.09944862788	1	1	1	1	1
ADGRG1	24.6941325567492	1	1	1	436.439219050829	1	1	134.878419555032	1	1	113.214946948868	27.3441434835693	1
ADGRG5	1	1	1	1	52.9728049966436	11.8649803983877	1	1	1	38.0259012461271	1	14.2261138240822	1
ADGRL2	1	1	1	1	1	1	34.8719763089379	252.003047938265	14.5428490005786	1	1	1	1
ADGRL4	1	1	1	1	1	1	1	218.456974595269	1	1	1	1	1
ADH1B	1	1	1	1	1	1	136.640410072761	1	1613.70855452495	1	1	1	1
ADHFE1	1	1	1	1	25.8148936064307	1	1	1	14.5396451228299	1	1	1	1
ADIRF	1	1	1	1	1	1	726.925107795112	373.793989723539	262.199431966825	1	1	1	1
ADM5	1	1	1	1	1	1	1	34.043084055053	1	1	1	1	1
ADORA2B	1	1	12.2515950535715	1	1	1	1	1	1	1	1	1	57.0123601031316
ADPRH	1	14.3449174790467	24.2811011639193	1	1	19.3702063821439	1	19.0909634838601	1	1	1	1	24.9335093128183
ADPRM	1	1	1	14.9934741663264	1	1	1	11.745676792485	1	1	19.9535260075218	1	21.7692818586671
ADRB2	33.3890903673802	1	23.7324398991545	23.0201081468884	144.178154405477	12.8089076579798	1	43.224527869471	1	36.1520949917496	1	1	452.337323722224
ADTRP	1	41.8945917857859	1	1	1	1	1	1	1	1	28.3077795648951	1	1
AEBP1	1	1	1	1	1	1	389.358999976938	31.4490412934252	863.477740172506	1	1	1	1
AF127936.2	1	1	1	1	1	1	1	1	1	60.6862447746597	1	1	1
AF165147.1	1	13.120747835762	1	1	1	1	1	1	1	12.2234112985808	1	1	1
AF213884.3	1	1	50.4998211971966	1	18.380093861396	1	1	1	1	10.9201741831083	1	12.4364417599978	1
AFAP1L1	1	1	1	1	1	1	1	110.29943025038	1	1	1	1	1
AFDN	1	1	16.5476293720242	1	1	1	1	80.0511345795333	30.5664167709344	1	1	1	1
AFF2	1	1	1	1	1	1	1	1	1	1	1	1	12.6002175021572
AFF3	1	1	15.5713344873084	1	1	92.044059732843	1	41.9204004004926	1	1	1	1	1
AGAP1	1	1	1	1	1	1	12.8489240893885	17.4475487691394	1	1	1	1	36.2732447215515
AGAP2	20.6174799545958	18.3579374815674	1	17.77066717667	24.6154351410605	1	1	1	1	1	13.5534031651412	15.243458768777	1
AGAP3	1	1	58.0008031043768	1	1	1	1	53.7510299686562	18.9841666924428	1	1	12.0515913759048	58.7008189900365
AGER	1	1	1	1	1	1	1	1	1	1	1	1	1
AGMAT	1	1	1	1	1	1	1	1	1	1	13.211230740246	11.1157328881877	1
AGPAT5	16.5369079176704	31.0042837688183	12.366973413555	26.1420848613113	1	28.8529967726181	20.8308995172101	16.8697562583017	1	13.4685341841314	101.253755591142	30.6750319933874	13.6747338538206
AGR2	1	1	1	1	1	1	1	1	1	1	1	1	1
AGR3	1	1	1	1	1	1	1	1	1	1	1	1	1
AGRN	1	1	10.708799870313	1	1	1	23.2503926785693	83.4234514592068	18.8518634157132	1	1	1	1
AGT	1	1	1	1	1	1	52.7227971373223	1	32.8478387043297	1	1	1	1
AHNAK2	1	1	1	1	1	1	1	20.3847947199217	1	1	1	1	32.2339058028434
AIF1	1	1	1155.42721797211	1	1	1	1	1	1	1	1	42.8974526746722	14.9800136110417
AIF1L	1	1	1	1	1	1	11.420266875291	52.393366958367	1	1	1	1	1
AIM2	1	12.5447270478847	1	1	1	81.5254797415511	1	1	1	21.1196725498019	10.7949665071524	10.8706907728526	1
AK1	1	1	1	1	1	1	64.8628553020933	70.7790793487079	52.6908326952363	13.4536684357167	1	1	1
AKAP12	1	1	1	1	1	1	105.354349086822	120.581363418163	100.321204232593	1	1	1	1
AKAP5	16.4956035095916	1	1	1	1	1	1	1	1	1	23.9595702179399	24.9417599703674	22.9419754949588
AKAP7	24.7837469860282	12.8882441145584	12.6907717003268	21.0445420562781	18.4592755687415	1	1	1	1	1	22.6740411893304	16.9780653270168	1
AKR1C1	1	1	1	1	1	1	22.8365022277647	1	33.0550668505471	1	1	1	1
AKR1C3	1	1	1	1	22.7177045368346	1	18.9589342048651	14.2780235211039	51.648644083637	1	1	1	1
AKR7A3	1	1	1	1	1	1	1	1	1	1	1	1	1
AL022157.1	1	1	1	1	1	1	1	1	1	16.1439903759576	1	1	1
AL035701.1	1	1	1	1	16.7510572316516	1	1	1	1	1	1	1	1
AL049780.2	1	1	1	1	11.3883702328064	1	1	1	1	1	1	1	1
AL078590.2	1	1	1	1	1	1	1	14.4526204653024	1	1	1	1	64.5079382402505
AL096865.1	1	1	1	1	1	1	1	1	1	11.8670127545136	12.8903697238383	1	1
AL121603.2	1	1	1	1	19.3212838506201	1	1	1	1	1	1	1	1
AL121658.1	1	1	1	1	13.7481306575045	1	1	1	1	1	1	1	1
AL133467.1	1	1	1	1	1	15.9797318213221	1	1	1	89.3457254232282	1	14.4430676801423	1
AL137003.1	11.0406625353146	1	1	1	1	1	1	1	1	23.1601566670361	11.2843216175301	1	1
AL138724.1	1	1	1	1	16.0605465844046	12.4883779164911	1	1	1	1	1	1	11.5786630849943
AL138895.1	1	1	1	1	11.8746395163879	1	1	1	1	1	1	1	1
AL139246.5	14.0528428129066	13.5310210582013	30.381909655656	15.1964348031157	89.5953292654858	24.0095980742683	12.3127413490491	1	1	1	1	1	1
AL139274.2	1	1	1	1	11.5078429879404	1	1	1	1	1	1	1	1
AL157895.1	1	1	1	1	1	1	1	1	1	1	1	1	167.122393004362
AL158071.3	1	1	1	1	13.3587784743605	1	1	1	1	1	11.5769169497998	1	1
AL158071.4	1	1	1	1	13.3580486352606	1	1	1	1	1	14.9456206664969	1	1
AL161421.1	1	1	1	1	12.8383292798532	1	1	1	1	1	1	1	1
AL161781.2	1	1	1	1	1	12.5890238050733	1	1	1	1	1	1	1
AL162377.1	1	12.2963516796551	9.89871906180158	1	12.7200921663702	1	1	1	1	1	1	1	1
AL353759.1	1	1	1	1	10.8972003641987	1	1	1	1	1	1	1	1
AL354707.1	1	1	1	1	1	1	1	1	1	24.1060179438864	1	1	1
AL355076.2	1	1	1	1	1	14.0016536543521	1	1	1	1	1	1	1
AL359220.1	1	1	1	1	1	1	1	19.3357355930194	1	1	11.2964717865926	1	1
AL359513.1	1	1	1	1	18.8989627259602	1	1	1	1	26.3637843525744	1	15.35774064127	1
AL359834.1	1	29.3875755740513	1	1	1	1	1	1	1	1	92.8604973554233	18.2711132613717	1
AL365226.2	1	16.2968408796285	1	1	1	1	1	1	1	1	1	1	1
AL365361.1	1	1	1	1	13.3378688052303	1	1	1	1	20.6792802935322	1	1	1
AL390957.1	1	1	1	1	1	1	1	1	1	1	1	1	29.552109322144
AL441992.1	1	22.0593274052407	11.4174287580537	1	14.7984533858996	1	1	1	1	18.816866351692	15.6404892890535	82.8516866788663	1
AL451085.1	1	1	1	1	17.8705391121852	1	1	1	1	14.7876621955108	1	1	1
AL512625.3	1	1	12.257060785127	1	1	13.6683013606971	1	1	1	12.4348079205361	1	1	1
AL590226.1	1	1	1	1	1	1	1	54.3741509321205	1	1	1	1	1
AL590705.1	1	1	1	1	12.1025905302866	1	1	1	1	1	1	1	1
AL591518.1	1	1	1	1	1	1	1	1	1	16.7799414026483	1	1	1
AL592183.1	1	1	1	1	10.5037037209355	1	1	1	1	1	1	1	1
AL606807.1	1	25.5047434296056	1	1	1	1	1	1	1	1	43.9311626726352	14.4173295535779	1
AL627171.1	1	16.2657343304351	1	1	22.2894730112713	1	1	1	1	46.9097530407034	1	1	1
AL645568.1	11.8867404979313	14.9218813239874	1	1	1	1	1	1	1	11.5228223175139	14.7350804148705	17.4681462142684	1
AL645728.1	1	1	1	1	13.0353995427874	1	1	1	1	1	1	1	1
AL731557.1	1	1	1	1	1	1	1	1	1	1	1	1	30.5242554557485
ALCAM	1	1	103.911184571294	1	1	22.2017527712006	42.2605937587354	1	1	29.1893205691814	1	14.3531278890585	10.1077758023073
ALDH1A1	1	1	20.9839078359355	1	1	1	1	22.9451006431633	227.138447664275	1	1	1	137.551765803611
ALDH1A2	1	1	1	1	1	1	84.0431956346426	1	1	1	1	1	1
ALDH1A3	1	1	1	1	1	1	1	1	60.3859628494453	1	1	1	1
ALDH1L2	1	1	1	1	1	1	10.8955651359701	1	11.5609623916021	39.3630653329402	1	1	1
ALDH2	1	1	285.184488020118	1	1	1	86.482541519158	236.474281825975	204.274124924119	41.8575458417463	1	1	26.7302638000987
ALDH3A1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALDH3B1	1	1	25.6573382971396	1	1	1	1	1	14.4085445001755	1	1	1	20.0982800132625
ALDH4A1	1	1	1	1	1	1	1	1	1	1	1	1	11.0321423782521
ALG14	1	1	1	1	1	1	1	11.798727389417	23.012990121129	52.2036671529197	1	16.406569009635	1
ALKAL2	1	1	1	1	1	1	1	34.4296751271831	1	1	1	1	1
ALOX5	1	1	172.070500066441	1	1	50.3891499348192	1	1	1	25.3052706825113	1	1	222.522607563288
ALOX5AP	520.145891366915	187.434204549706	560.410125915096	364.422113718246	89.2446632197256	96.6786733576238	1	15.3400424792561	1	105.107045441624	750.859967860722	277.409546432149	588.585950839513
